Source,Year,Mean
GISTEMP,1923,-0.24
GISTEMP,1922,-0.28
GISTEMP,1921,-0.21
GISTEMP,1920,-0.27
GISTEMP,1919,-0.22
GISTEMP,1918,-0.26
GISTEMP,1917,-0.4
GISTEMP,1916,-0.34
GISTEMP,1915,-0.11
GISTEMP,1914,-0.16
GISTEMP,1913,-0.34
GISTEMP,1912,-0.35
GISTEMP,1911,-0.44
GISTEMP,1910,-0.42
GISTEMP,1909,-0.47
GISTEMP,1908,-0.43
GISTEMP,1907,-0.4
GISTEMP,1906,-0.23
GISTEMP,1905,-0.28
GISTEMP,1904,-0.44
GISTEMP,1903,-0.35
GISTEMP,1902,-0.27
GISTEMP,1901,-0.15
GISTEMP,1900,-0.09
GISTEMP,1899,-0.16
GISTEMP,1898,-0.28
GISTEMP,1897,-0.11
GISTEMP,1896,-0.15
GISTEMP,1895,-0.21
GISTEMP,1894,-0.31
GISTEMP,1893,-0.3
GISTEMP,1892,-0.27
GISTEMP,1891,-0.24
GISTEMP,1890,-0.37
GISTEMP,1889,-0.12
GISTEMP,1888,-0.2
GISTEMP,1887,-0.33
GISTEMP,1886,-0.31
GISTEMP,1885,-0.32
GISTEMP,1884,-0.28
GISTEMP,1883,-0.21
GISTEMP,1882,-0.1
GISTEMP,1881,-0.12
GISTEMP,1880,-0.2
